province,district_code,district,commune_code,commune,atm,branch,population
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6649,Phường Hà Khánh,3.0,0.0,8505
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6652,Phường Hà Phong,1.0,0.0,12238
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6655,Phường Hà Khẩu,3.0,2.0,16966
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6658,Phường Cao Xanh,2.0,2.0,20060
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6661,Phường Giếng Đáy,10.0,4.0,18503
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6664,Phường Hà Tu,7.0,2.0,15338
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6667,Phường Hà Trung,2.0,0.0,9246
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6670,Phường Hà Lầm,3.0,2.0,10849
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6673,Phường Bãi Cháy,26.0,17.0,25534
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6676,Phường Cao Thắng,4.0,5.0,21262
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6679,Phường Hùng Thắng,1.0,0.0,7644
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6682,Phường Yết Kiêu,1.0,0.0,12485
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6685,Phường Trần Hưng Đạo,5.0,6.0,10662
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6688,Phường Hồng Hải,18.0,12.0,20551
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6691,Phường Hồng Gai,7.0,5.0,7472
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6694,Phường Bạch Đằng,30.0,29.0,7981
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6697,Phường Hồng Hà,7.0,7.0,22548
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6700,Phường Tuần Châu,3.0,0.0,2591
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6703,Phường Việt Hưng,0.0,1.0,10126
Tỉnh Quảng Ninh,193,Thành phố Hạ Long,6706,Phường Đại Yên,2.0,0.0,9493
Tỉnh Quảng Ninh,194,Thành phố Móng Cái,6709,Phường Ka Long,3.0,1.0,8181
Tỉnh Quảng Ninh,194,Thành phố Móng Cái,6712,Phường Trần Phú,12.0,13.0,3914
Tỉnh Quảng Ninh,194,Thành phố Móng Cái,6715,Phường Ninh Dương,0.0,0.0,10817
Tỉnh Quảng Ninh,194,Thành phố Móng Cái,6718,Phường Hoà Lạc,6.0,5.0,4497
Tỉnh Quảng Ninh,194,Thành phố Móng Cái,6721,Phường Trà Cổ,0.0,1.0,5061
Tỉnh Quảng Ninh,194,Thành phố Móng Cái,6724,Xã Hải Sơn,0.0,0.0,1548
Tỉnh Quảng Ninh,194,Thành phố Móng Cái,6727,Xã Bắc Sơn,0.0,0.0,1729
Tỉnh Quảng Ninh,194,Thành phố Móng Cái,6730,Xã Hải Đông,0.0,0.0,7437
Tỉnh Quảng Ninh,194,Thành phố Móng Cái,6733,Xã Hải Tiến,0.0,1.0,5953
Tỉnh Quảng Ninh,194,Thành phố Móng Cái,6736,Phường Hải Yên,3.0,0.0,14267
Tỉnh Quảng Ninh,194,Thành phố Móng Cái,6739,Xã Quảng Nghĩa,0.0,0.0,3682
Tỉnh Quảng Ninh,194,Thành phố Móng Cái,6742,Phường Hải Hoà,0.0,0.0,16285
Tỉnh Quảng Ninh,194,Thành phố Móng Cái,6745,Xã Hải Xuân,0.0,1.0,10121
Tỉnh Quảng Ninh,194,Thành phố Móng Cái,6748,Xã Vạn Ninh,0.0,0.0,6816
Tỉnh Quảng Ninh,194,Thành phố Móng Cái,6751,Phường Bình Ngọc,0.0,0.0,3412
Tỉnh Quảng Ninh,194,Thành phố Móng Cái,6754,Xã Vĩnh Trung,0.0,0.0,1724
Tỉnh Quảng Ninh,194,Thành phố Móng Cái,6757,Xã Vĩnh Thực,0.0,0.0,3109
Tỉnh Quảng Ninh,195,Thành phố Cẩm Phả,6760,Phường Mông Dương,9.0,3.0,15212
Tỉnh Quảng Ninh,195,Thành phố Cẩm Phả,6763,Phường Cửa Ông,13.0,7.0,16740
Tỉnh Quảng Ninh,195,Thành phố Cẩm Phả,6766,Phường Cẩm Sơn,4.0,1.0,18728
Tỉnh Quảng Ninh,195,Thành phố Cẩm Phả,6769,Phường Cẩm Đông,5.0,2.0,10852
Tỉnh Quảng Ninh,195,Thành phố Cẩm Phả,6772,Phường Cẩm Phú,4.0,4.0,15744
Tỉnh Quảng Ninh,195,Thành phố Cẩm Phả,6775,Phường Cẩm Tây,5.0,7.0,6700
Tỉnh Quảng Ninh,195,Thành phố Cẩm Phả,6778,Phường Quang Hanh,8.0,3.0,21446
Tỉnh Quảng Ninh,195,Thành phố Cẩm Phả,6781,Phường Cẩm Thịnh,2.0,0.0,10537
Tỉnh Quảng Ninh,195,Thành phố Cẩm Phả,6784,Phường Cẩm Thủy,4.0,4.0,14619
Tỉnh Quảng Ninh,195,Thành phố Cẩm Phả,6787,Phường Cẩm Thạch,7.0,2.0,14911
Tỉnh Quảng Ninh,195,Thành phố Cẩm Phả,6790,Phường Cẩm Thành,13.0,7.0,10397
Tỉnh Quảng Ninh,195,Thành phố Cẩm Phả,6793,Phường Cẩm Trung,5.0,9.0,15736
Tỉnh Quảng Ninh,195,Thành phố Cẩm Phả,6796,Phường Cẩm Bình,0.0,0.0,10515
Tỉnh Quảng Ninh,195,Thành phố Cẩm Phả,6799,Xã Cộng Hòa,0.0,0.0,3452
Tỉnh Quảng Ninh,195,Thành phố Cẩm Phả,6802,Xã Cẩm Hải,0.0,0.0,1528
Tỉnh Quảng Ninh,195,Thành phố Cẩm Phả,6805,Xã Dương Huy,0.0,0.0,3115
Tỉnh Quảng Ninh,196,Thành phố Uông Bí,6808,Phường Vàng Danh,2.0,3.0,12228
Tỉnh Quảng Ninh,196,Thành phố Uông Bí,6811,Phường Thanh Sơn,3.0,2.0,17406
Tỉnh Quảng Ninh,196,Thành phố Uông Bí,6814,Phường Bắc Sơn,1.0,0.0,6921
Tỉnh Quảng Ninh,196,Thành phố Uông Bí,6817,Phường Quang Trung,19.0,19.0,22266
Tỉnh Quảng Ninh,196,Thành phố Uông Bí,6820,Phường Trưng Vương,1.0,0.0,8256
Tỉnh Quảng Ninh,196,Thành phố Uông Bí,6823,Phường Nam Khê,3.0,2.0,8214
Tỉnh Quảng Ninh,196,Thành phố Uông Bí,6826,Phường Yên Thanh,3.0,3.0,9420
Tỉnh Quảng Ninh,196,Thành phố Uông Bí,6829,Xã Thượng Yên Công,2.0,0.0,5627
Tỉnh Quảng Ninh,196,Thành phố Uông Bí,6832,Phường Phương Đông,3.0,2.0,15132
Tỉnh Quảng Ninh,196,Thành phố Uông Bí,6835,Phường Phương Nam,1.0,0.0,13573
Tỉnh Quảng Ninh,196,Thành phố Uông Bí,7141,Xã Điền Công,0.0,0.0,1939
Tỉnh Quảng Ninh,198,Huyện Bình Liêu,6838,Thị trấn Bình Liêu,1.0,3.0,3623
Tỉnh Quảng Ninh,198,Huyện Bình Liêu,6841,Xã Hoành Mô,0.0,0.0,4872
Tỉnh Quảng Ninh,198,Huyện Bình Liêu,6844,Xã Đồng Tâm,0.0,0.0,3866
Tỉnh Quảng Ninh,198,Huyện Bình Liêu,6847,Xã Đồng Văn,0.0,0.0,3040
Tỉnh Quảng Ninh,198,Huyện Bình Liêu,6850,Xã Tình Húc,0.0,0.0,4087
Tỉnh Quảng Ninh,198,Huyện Bình Liêu,6853,Xã Vô Ngại,0.0,0.0,4322
Tỉnh Quảng Ninh,198,Huyện Bình Liêu,6856,Xã Lục Hồn,0.0,0.0,5044
Tỉnh Quảng Ninh,198,Huyện Bình Liêu,6859,Xã Húc Động,0.0,0.0,2783
Tỉnh Quảng Ninh,199,Huyện Tiên Yên,6862,Thị trấn Tiên Yên,3.0,4.0,7519
Tỉnh Quảng Ninh,199,Huyện Tiên Yên,6865,Xã Hà Lâu,0.0,0.0,2569
Tỉnh Quảng Ninh,199,Huyện Tiên Yên,6868,Xã Đại Dực,0.0,0.0,1548
Tỉnh Quảng Ninh,199,Huyện Tiên Yên,6869,Xã Đại Thành,0.0,0.0,1098
Tỉnh Quảng Ninh,199,Huyện Tiên Yên,6871,Xã Phong Dụ,0.0,0.0,4244
Tỉnh Quảng Ninh,199,Huyện Tiên Yên,6874,Xã Điền Xá,0.0,0.0,1380
Tỉnh Quảng Ninh,199,Huyện Tiên Yên,6877,Xã Đông Ngũ,0.0,1.0,7836
Tỉnh Quảng Ninh,199,Huyện Tiên Yên,6880,Xã Yên Than,0.0,0.0,3223
Tỉnh Quảng Ninh,199,Huyện Tiên Yên,6883,Xã Đông Hải,0.0,0.0,5901
Tỉnh Quảng Ninh,199,Huyện Tiên Yên,6886,Xã Hải Lạng,0.0,0.0,6025
Tỉnh Quảng Ninh,199,Huyện Tiên Yên,6889,Xã Tiên Lãng,0.0,0.0,6836
Tỉnh Quảng Ninh,199,Huyện Tiên Yên,6892,Xã Đồng Rui,0.0,0.0,2651
Tỉnh Quảng Ninh,200,Huyện Đầm Hà,6895,Thị trấn Đầm Hà,2.0,2.0,7900
Tỉnh Quảng Ninh,200,Huyện Đầm Hà,6898,Xã Quảng Lâm,0.0,0.0,3108
Tỉnh Quảng Ninh,200,Huyện Đầm Hà,6901,Xã Quảng An,0.0,0.0,5208
Tỉnh Quảng Ninh,200,Huyện Đầm Hà,6904,Xã Tân Bình,0.0,0.0,4493
Tỉnh Quảng Ninh,200,Huyện Đầm Hà,6907,Xã Quảng Lợi,0.0,0.0,2569
Tỉnh Quảng Ninh,200,Huyện Đầm Hà,6910,Xã Dực Yên,0.0,0.0,3077
Tỉnh Quảng Ninh,200,Huyện Đầm Hà,6913,Xã Quảng Tân,0.0,0.0,3002
Tỉnh Quảng Ninh,200,Huyện Đầm Hà,6916,Xã Đầm Hà,0.0,0.0,5322
Tỉnh Quảng Ninh,200,Huyện Đầm Hà,6917,Xã Tân Lập,0.0,0.0,4106
Tỉnh Quảng Ninh,200,Huyện Đầm Hà,6919,Xã Đại Bình,0.0,0.0,2432
Tỉnh Quảng Ninh,201,Huyện Hải Hà,6922,Thị trấn Quảng Hà,5.0,5.0,7385
Tỉnh Quảng Ninh,201,Huyện Hải Hà,6925,Xã Quảng Đức,0.0,0.0,3746
Tỉnh Quảng Ninh,201,Huyện Hải Hà,6928,Xã Quảng Sơn,0.0,0.0,4168
Tỉnh Quảng Ninh,201,Huyện Hải Hà,6931,Xã Quảng Thành,1.0,0.0,3587
Tỉnh Quảng Ninh,201,Huyện Hải Hà,6934,Xã Quảng Thắng,0.0,0.0,2502
Tỉnh Quảng Ninh,201,Huyện Hải Hà,6937,Xã Quảng Thịnh,0.0,0.0,2736
Tỉnh Quảng Ninh,201,Huyện Hải Hà,6940,Xã Quảng Minh,0.0,0.0,4983
Tỉnh Quảng Ninh,201,Huyện Hải Hà,6943,Xã Quảng Chính,0.0,0.0,7608
Tỉnh Quảng Ninh,201,Huyện Hải Hà,6946,Xã Quảng Long,0.0,0.0,5285
Tỉnh Quảng Ninh,201,Huyện Hải Hà,6949,Xã Đường Hoa,0.0,0.0,4092
Tỉnh Quảng Ninh,201,Huyện Hải Hà,6952,Xã Quảng Phong,0.0,0.0,5127
Tỉnh Quảng Ninh,201,Huyện Hải Hà,6955,Xã Quảng Trung,0.0,0.0,1386
Tỉnh Quảng Ninh,201,Huyện Hải Hà,6958,Xã Phú Hải,0.0,0.0,2498
Tỉnh Quảng Ninh,201,Huyện Hải Hà,6961,Xã Quảng Điền,2.0,0.0,3426
Tỉnh Quảng Ninh,201,Huyện Hải Hà,6964,Xã Tiến Tới,0.0,0.0,2487
Tỉnh Quảng Ninh,201,Huyện Hải Hà,6967,Xã Cái Chiên,0.0,0.0,550
Tỉnh Quảng Ninh,202,Huyện Ba Chẽ,6970,Thị trấn Ba Chẽ,2.0,2.0,4635
Tỉnh Quảng Ninh,202,Huyện Ba Chẽ,6973,Xã Thanh Sơn,0.0,0.0,1691
Tỉnh Quảng Ninh,202,Huyện Ba Chẽ,6976,Xã Thanh Lâm,0.0,0.0,2124
Tỉnh Quảng Ninh,202,Huyện Ba Chẽ,6979,Xã Đạp Thanh,0.0,0.0,2287
Tỉnh Quảng Ninh,202,Huyện Ba Chẽ,6982,Xã Nam Sơn,0.0,0.0,3491
Tỉnh Quảng Ninh,202,Huyện Ba Chẽ,6985,Xã Lương Mông,0.0,0.0,1493
Tỉnh Quảng Ninh,202,Huyện Ba Chẽ,6988,Xã Đồn Đạc,0.0,0.0,5813
Tỉnh Quảng Ninh,202,Huyện Ba Chẽ,6991,Xã Minh Cầm,0.0,0.0,569
Tỉnh Quảng Ninh,203,Huyện Vân Đồn,6994,Thị trấn Cái Rồng,3.0,5.0,9520
Tỉnh Quảng Ninh,203,Huyện Vân Đồn,6997,Xã Đài Xuyên,0.0,0.0,2076
Tỉnh Quảng Ninh,203,Huyện Vân Đồn,7000,Xã Bình Dân,0.0,0.0,1360
Tỉnh Quảng Ninh,203,Huyện Vân Đồn,7003,Xã Vạn Yên,0.0,0.0,1382
Tỉnh Quảng Ninh,203,Huyện Vân Đồn,7006,Xã Minh Châu,0.0,0.0,1072
Tỉnh Quảng Ninh,203,Huyện Vân Đồn,7009,Xã Đoàn Kết,0.0,0.0,2840
Tỉnh Quảng Ninh,203,Huyện Vân Đồn,7012,Xã Hạ Long,0.0,0.0,10487
Tỉnh Quảng Ninh,203,Huyện Vân Đồn,7015,Xã Đông Xá,0.0,0.0,10795
Tỉnh Quảng Ninh,203,Huyện Vân Đồn,7018,Xã Bản Sen,0.0,0.0,1079
Tỉnh Quảng Ninh,203,Huyện Vân Đồn,7021,Xã Thắng Lợi,0.0,0.0,1613
Tỉnh Quảng Ninh,203,Huyện Vân Đồn,7024,Xã Quan Lạn,0.0,0.0,3567
Tỉnh Quảng Ninh,203,Huyện Vân Đồn,7027,Xã Ngọc Vừng,0.0,0.0,825
Tỉnh Quảng Ninh,204,Huyện Hoành Bồ,7030,Thị trấn Trới,6.0,5.0,11704
Tỉnh Quảng Ninh,204,Huyện Hoành Bồ,7033,Xã Kỳ Thượng,0.0,0.0,744
Tỉnh Quảng Ninh,204,Huyện Hoành Bồ,7036,Xã Đồng Sơn,0.0,0.0,2875
Tỉnh Quảng Ninh,204,Huyện Hoành Bồ,7039,Xã Tân Dân,1.0,0.0,2459
Tỉnh Quảng Ninh,204,Huyện Hoành Bồ,7042,Xã Đồng Lâm,0.0,0.0,2304
Tỉnh Quảng Ninh,204,Huyện Hoành Bồ,7045,Xã Hòa Bình,0.0,0.0,1189
Tỉnh Quảng Ninh,204,Huyện Hoành Bồ,7048,Xã Vũ Oai,0.0,0.0,2130
Tỉnh Quảng Ninh,204,Huyện Hoành Bồ,7051,Xã Dân Chủ,0.0,0.0,1132
Tỉnh Quảng Ninh,204,Huyện Hoành Bồ,7054,Xã Quảng La,0.0,1.0,2960
Tỉnh Quảng Ninh,204,Huyện Hoành Bồ,7057,Xã Bằng Cả,0.0,0.0,1836
Tỉnh Quảng Ninh,204,Huyện Hoành Bồ,7060,Xã Thống Nhất,0.0,1.0,11172
Tỉnh Quảng Ninh,204,Huyện Hoành Bồ,7063,Xã Sơn Dương,0.0,0.0,5200
Tỉnh Quảng Ninh,204,Huyện Hoành Bồ,7066,Xã Lê Lợi,1.0,0.0,6951
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7069,Phường Mạo Khê,17.0,12.0,36868
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7072,Phường Đông Triều,2.0,4.0,4886
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7075,Xã An Sinh,0.0,0.0,6977
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7078,Xã Tràng Lương,0.0,0.0,2786
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7081,Xã Bình Khê,2.0,1.0,10264
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7084,Xã Việt Dân,0.0,0.0,4220
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7087,Xã Tân Việt,0.0,0.0,3137
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7090,Xã Bình Dương,0.0,0.0,8662
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7093,Phường Đức Chính,0.0,0.0,7227
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7096,Xã Tràng An,0.0,0.0,6128
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7099,Xã Nguyễn Huệ,0.0,0.0,5592
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7102,Xã Thủy An,0.0,1.0,4181
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7105,Phường Xuân Sơn,0.0,0.0,6551
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7108,Xã Hồng Thái Tây,0.0,0.0,6580
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7111,Xã Hồng Thái Đông,0.0,0.0,8885
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7114,Xã Hoàng Quế,0.0,0.0,7836
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7117,Xã Yên Thọ,0.0,0.0,10786
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7120,Xã Hồng Phong,1.0,0.0,7792
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7123,Phường Kim Sơn,2.0,2.0,8956
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7126,Phường Hưng Đạo,0.0,0.0,8435
Tỉnh Quảng Ninh,205,Thị xã Đông Triều,7129,Xã Yên Đức,0.0,0.0,4924
Tỉnh Quảng Ninh,206,Thị xã Quảng Yên,7132,Phường Quảng Yên,5.0,7.0,14904
Tỉnh Quảng Ninh,206,Thị xã Quảng Yên,7135,Phường Đông Mai,2.0,0.0,7600
Tỉnh Quảng Ninh,206,Thị xã Quảng Yên,7138,Phường Minh Thành,2.0,2.0,11679
Tỉnh Quảng Ninh,206,Thị xã Quảng Yên,7144,Xã Sông Khoai,0.0,0.0,12140
Tỉnh Quảng Ninh,206,Thị xã Quảng Yên,7147,Xã Hiệp Hòa,0.0,0.0,9561
Tỉnh Quảng Ninh,206,Thị xã Quảng Yên,7150,Phường Cộng Hòa,0.0,0.0,7759
Tỉnh Quảng Ninh,206,Thị xã Quảng Yên,7153,Xã Tiền An,0.0,0.0,9268
Tỉnh Quảng Ninh,206,Thị xã Quảng Yên,7156,Xã Hoàng Tân,0.0,0.0,3981
Tỉnh Quảng Ninh,206,Thị xã Quảng Yên,7159,Phường Tân An,0.0,0.0,5249
Tỉnh Quảng Ninh,206,Thị xã Quảng Yên,7162,Phường Yên Giang,0.0,0.0,3215
Tỉnh Quảng Ninh,206,Thị xã Quảng Yên,7165,Phường Nam Hoà,0.0,0.0,6137
Tỉnh Quảng Ninh,206,Thị xã Quảng Yên,7168,Phường Hà An,0.0,0.0,8786
Tỉnh Quảng Ninh,206,Thị xã Quảng Yên,7171,Xã Cẩm La,0.0,0.0,4893
Tỉnh Quảng Ninh,206,Thị xã Quảng Yên,7174,Phường Phong Hải,0.0,0.0,8654
Tỉnh Quảng Ninh,206,Thị xã Quảng Yên,7177,Phường Yên Hải,0.0,0.0,5550
Tỉnh Quảng Ninh,206,Thị xã Quảng Yên,7180,Xã Liên Hòa,0.0,0.0,8487
Tỉnh Quảng Ninh,206,Thị xã Quảng Yên,7183,Phường Phong Cốc,1.0,1.0,6335
Tỉnh Quảng Ninh,206,Thị xã Quảng Yên,7186,Xã Liên Vị,0.0,0.0,9653
Tỉnh Quảng Ninh,206,Thị xã Quảng Yên,7189,Xã Tiền Phong,0.0,0.0,2069
Tỉnh Quảng Ninh,207,Huyện Cô Tô,7192,Thị trấn Cô Tô,1.0,2.0,3136
Tỉnh Quảng Ninh,207,Huyện Cô Tô,7195,Xã Đồng Tiến,0.0,0.0,1735
Tỉnh Quảng Ninh,207,Huyện Cô Tô,7198,Xã Thanh Lân,0.0,0.0,1414
Thành phố Hồ Chí Minh,760,Quận 1,26734,Phường Tân Định,19.0,22.0,23258
Thành phố Hồ Chí Minh,760,Quận 1,26737,Phường Đa Kao,44.0,27.0,14970
Thành phố Hồ Chí Minh,760,Quận 1,26740,Phường Bến Nghé,163.0,47.0,10633
Thành phố Hồ Chí Minh,760,Quận 1,26743,Phường Bến Thành,40.0,22.0,11714
Thành phố Hồ Chí Minh,760,Quận 1,26746,Phường Nguyễn Thái Bình,47.0,45.0,9716
Thành phố Hồ Chí Minh,760,Quận 1,26749,Phường Phạm Ngũ Lão,50.0,17.0,15183
Thành phố Hồ Chí Minh,760,Quận 1,26752,Phường Cầu Ông Lãnh,8.0,4.0,10737
Thành phố Hồ Chí Minh,760,Quận 1,26755,Phường Cô Giang,9.0,6.0,11517
Thành phố Hồ Chí Minh,760,Quận 1,26758,Phường Nguyễn Cư Trinh,27.0,15.0,21191
